method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': False}",0.7248242543466311,0.6510127485343837
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': False}",0.679376283738826,0.6422655789571637
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.6800995168802615,0.6971990446353795
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.6647091156305146,0.6438164955488693
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.7327798189024212,0.7003008778187908
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': True}",0.501692365550959,0.4688110673407984
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': True}",0.5229843492348193,0.46815968237228195
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': True}",0.5338328463563514,0.44446167685101895
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': False}",0.6565510457951225,0.6742764974099692
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': False}",0.7202823502184164,0.6915537082415708
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': False}",0.704168715827234,0.6954309997208351
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': True}",0.6585760985911417,0.6042371041285398
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': True}",0.6982671333931205,0.6436924222215329
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': True}",0.6187114878352186,0.5442166320295294
NeuralNet,"{'n_hidden': 329, 'n_layers': 1, 'learning_rate': 0.07656911415245042, 'dropout_prob': 0.5581100947678923, 'n_epochs': 28, 'batch_size': 117, 'weight_positives': True}",0.5325020973761102,0.5261019262384068
NeuralNet,"{'n_hidden': 329, 'n_layers': 1, 'learning_rate': 0.07656911415245042, 'dropout_prob': 0.5581100947678923, 'n_epochs': 28, 'batch_size': 117, 'weight_positives': True}",0.6764254925217692,0.6319054561245695
