method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50}",0.6733879133277403,0.6789292471850864
NeuralNet,"{'n_hidden': 329, 'n_layers': 1, 'learning_rate': 0.07656911415245042, 'dropout_prob': 0.5581100947678923, 'n_epochs': 28, 'batch_size': 117}",0.7143807677843028,0.6452433388132386
NeuralNet,"{'n_hidden': 329, 'n_layers': 1, 'learning_rate': 0.07656911415245042, 'dropout_prob': 0.5581100947678923, 'n_epochs': 28, 'batch_size': 117}",0.7060201926693088,0.6558826266323396
NeuralNet,"{'n_hidden': 329, 'n_layers': 1, 'learning_rate': 0.07656911415245042, 'dropout_prob': 0.5581100947678923, 'n_epochs': 28, 'batch_size': 117}",0.7326641015997917,0.6694996743075157
NeuralNet,"{'n_hidden': 167, 'n_layers': 1, 'learning_rate': 0.025563301227559936, 'dropout_prob': 0.23384694741626016, 'n_epochs': 95, 'batch_size': 158}",0.7076691642317817,0.6623034213220013
NeuralNet,"{'n_hidden': 167, 'n_layers': 1, 'learning_rate': 0.025563301227559936, 'dropout_prob': 0.23384694741626016, 'n_epochs': 95, 'batch_size': 158}",0.7492984638528076,0.6943143397748068
NeuralNet,"{'n_hidden': 167, 'n_layers': 1, 'learning_rate': 0.025563301227559936, 'dropout_prob': 0.23384694741626016, 'n_epochs': 95, 'batch_size': 158}",0.7151040009257382,0.6931976798287787
NeuralNet,"{'n_hidden': 397, 'n_layers': 2, 'learning_rate': 0.018301500317047924, 'dropout_prob': 0.20423978313183044, 'n_epochs': 62, 'batch_size': 53}",0.6118263083287527,0.6325258227612518
NeuralNet,"{'n_hidden': 397, 'n_layers': 2, 'learning_rate': 0.018301500317047924, 'dropout_prob': 0.20423978313183044, 'n_epochs': 62, 'batch_size': 53}",0.7269939537709377,0.7026272527063494
NeuralNet,"{'n_hidden': 397, 'n_layers': 2, 'learning_rate': 0.018301500317047924, 'dropout_prob': 0.20423978313183044, 'n_epochs': 62, 'batch_size': 53}",0.668325281337692,0.6735010391141165
NeuralNet,"{'n_hidden': 66, 'n_layers': 3, 'learning_rate': 0.0007261297093317894, 'dropout_prob': 0.2543638607196925, 'n_epochs': 51, 'batch_size': 143}",0.6962131512714438,0.6987499612270852
NeuralNet,"{'n_hidden': 66, 'n_layers': 3, 'learning_rate': 0.0007261297093317894, 'dropout_prob': 0.2543638607196925, 'n_epochs': 51, 'batch_size': 143}",0.753956085283652,0.7127082105524364
NeuralNet,"{'n_hidden': 66, 'n_layers': 3, 'learning_rate': 0.0007261297093317894, 'dropout_prob': 0.2543638607196925, 'n_epochs': 51, 'batch_size': 143}",0.7188358839355454,0.6861255001706008
NeuralNet,"{'n_hidden': 213, 'n_layers': 3, 'learning_rate': 0.03284257338249057, 'dropout_prob': 0.4702995511817259, 'n_epochs': 95, 'batch_size': 52}",0.5004773338733474,0.5335153075467601
NeuralNet,"{'n_hidden': 213, 'n_layers': 3, 'learning_rate': 0.03284257338249057, 'dropout_prob': 0.4702995511817259, 'n_epochs': 95, 'batch_size': 52}",0.5004773338733474,0.5335153075467601
